Person,Jango Fett
Person,Anakin Skywalker
Person,Rey
Person,Owen
Person,Darth Vader
Person,Gunray
Person,Organa
Person,Yoda
Person,Vader
Person,Obi-Wan
Person,Lando
Person,Leia
Person,Amidala
Person,Watto
Person,Princess Leia
Person,Boba
Person,Qui-Gon
Person,Luke
Person,Beru Lars
Person,Padm̩ Amidala
Person,Mustafar
Person,Kylo Ren
Person,Supreme Chancellor Palpatine
Person,Han
Person,Cliegg Lars
Person,Shmi
Person,Anakin
Person,Finn
Person,Poe Dameron
Person,Darth Sidious
Person,Palpatine
Person,Mace Windu
Person,Queen Amidala
Person,Darth Maul
Person,Polis Massa
